                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5812,                 4.0776,                 1.4516,                0.09314,                0.14024,                0.09378,                0.07273,                 1.3204,                 3.9059,                 1.4433,              4.165e-05,              4.165e-05,              4.165e-05
                      2,                 1.3001,                  2.332,                   1.24,                0.11611,                0.12813,                0.08928,                  0.064,                  1.234,                 4.7787,                 1.2607,             9.0723e-05,             9.0723e-05,             9.0723e-05
                      3,                 1.1998,                 1.5543,                 1.1487,                 0.3165,                0.18951,                0.15553,                0.10645,                 1.1634,                 2.8902,                  1.222,             0.00013881,             0.00013881,             0.00013881
                      4,                 1.1359,                 1.1878,                 1.1368,                0.36812,                0.25462,                0.25821,                0.15953,                 1.1327,                 2.5408,                  1.225,              0.0001859,              0.0001859,              0.0001859
                      5,                 1.0757,                  1.004,                 1.0854,                0.44684,                0.36619,                0.33516,                0.21693,                 1.1431,                 1.8617,                 1.2287,               0.000232,               0.000232,               0.000232
                      6,                 1.0729,                0.87275,                 1.0864,                0.58592,                0.67714,                0.65793,                0.43039,                 1.1313,                 1.5807,                 1.2675,             0.00027712,             0.00027712,             0.00027712
                      7,                 1.0289,                0.78504,                 1.0763,                0.63411,                0.63061,                0.63648,                0.41722,                 1.1286,                 1.2509,                 1.2792,             0.00032124,             0.00032124,             0.00032124
                      8,                 1.0692,                0.74075,                 1.1154,                0.65944,                0.73362,                0.71601,                0.47273,                 1.1009,                 1.1937,                 1.3106,             0.00036438,             0.00036438,             0.00036438
                      9,                 1.0029,                0.69651,                  1.086,                0.76801,                0.72266,                0.70793,                0.44226,                 1.0946,                 1.1208,                 1.3055,             0.00040652,             0.00040652,             0.00040652
                     10,                0.99913,                0.67418,                 1.0827,                 0.8182,                0.69556,                0.72343,                 0.4698,                 1.0628,                0.97744,                 1.2897,             0.00044768,             0.00044768,             0.00044768
                     11,                0.98859,                0.64818,                  1.104,                0.77519,                0.74744,                0.72624,                0.46423,                 1.0628,                0.89049,                 1.2828,             0.00048785,             0.00048785,             0.00048785
                     12,                0.97773,                0.62711,                 1.0753,                0.76458,                0.77735,                0.73815,                0.47496,                 1.0402,                0.86255,                 1.2666,             0.00052702,             0.00052702,             0.00052702
                     13,                0.93985,                0.58415,                 1.0704,                0.78181,                0.75138,                0.73352,                0.46966,                 1.0766,                0.84322,                 1.2782,             0.00056521,             0.00056521,             0.00056521
                     14,                0.93792,                0.56909,                 1.0631,                0.82319,                0.81689,                0.75184,                0.49778,                 1.0768,                0.81677,                 1.2778,             0.00060241,             0.00060241,             0.00060241
                     15,                0.95048,                0.57798,                 1.0673,                0.80303,                0.78132,                0.75321,                0.49244,                 1.0901,                0.81635,                 1.2925,             0.00063862,             0.00063862,             0.00063862
                     16,                0.93474,                0.55898,                 1.0591,                0.73861,                0.78511,                0.71874,                0.43646,                 1.1708,                 0.8468,                 1.3699,             0.00067383,             0.00067383,             0.00067383
                     17,                0.93691,                0.55313,                 1.0613,                0.73807,                0.70368,                0.66874,                0.40276,                 1.2393,                0.96597,                 1.4103,             0.00070105,             0.00070105,             0.00070105
                     18,                0.95101,                0.56002,                   1.08,                0.78116,                0.72339,                0.74577,                0.46023,                 1.1981,                0.93017,                 1.3362,             0.00070105,             0.00070105,             0.00070105
                     19,                0.92222,                0.54851,                 1.0441,                0.79318,                0.77775,                 0.7633,                0.49886,                  1.075,                0.78164,                 1.2709,             0.00069281,             0.00069281,             0.00069281
                     20,                0.90377,                0.53878,                 1.0342,                0.78804,                0.79349,                0.75891,                0.48924,                 1.0961,                0.75377,                 1.3058,             0.00068456,             0.00068456,             0.00068456
                     21,                0.91564,                0.52588,                 1.0581,                0.78509,                 0.7936,                0.75246,                0.49284,                 1.0517,                0.77376,                 1.2778,             0.00067631,             0.00067631,             0.00067631
                     22,                0.90206,                0.50192,                 1.0467,                 0.8055,                0.76154,                0.74828,                0.50799,                 1.0625,                0.76082,                 1.2721,             0.00066807,             0.00066807,             0.00066807
                     23,                0.89431,                0.48801,                 1.0481,                0.76737,                0.82478,                0.74629,                0.50753,                 1.0693,                0.77362,                 1.2903,             0.00065982,             0.00065982,             0.00065982
                     24,                 0.8845,                0.48919,                 1.0434,                0.79294,                0.77909,                0.74799,                0.48436,                 1.1057,                0.78125,                 1.3287,             0.00065157,             0.00065157,             0.00065157
                     25,                0.86109,                 0.4797,                 1.0338,                0.81608,                0.81527,                0.76492,                0.52935,                 1.0272,                0.68629,                 1.2823,             0.00064333,             0.00064333,             0.00064333
                     26,                0.90715,                0.49441,                 1.0527,                0.78924,                0.78343,                0.77342,                0.52427,                 1.0396,                0.76101,                 1.2834,             0.00063508,             0.00063508,             0.00063508
                     27,                0.90701,                0.49017,                 1.0565,                0.79133,                0.79957,                0.76314,                0.51622,                 1.0493,                0.70518,                 1.2852,             0.00062683,             0.00062683,             0.00062683
