                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     20,                 0.6241,                0.33151,                0.91446,                0.81713,                0.81781,                0.77177,                0.53867,                  1.004,                0.65312,                 1.2998,             0.00039902,             0.00039902,             0.00039902
                     21,                0.61697,                0.33474,                0.92814,                0.82226,                0.82764,                0.76378,                0.54012,                0.98808,                 0.7344,                 1.2832,              0.0004142,              0.0004142,              0.0004142
                     22,                0.62918,                0.33514,                0.92001,                0.81114,                0.82245,                0.76425,                 0.5473,                 1.0003,                 0.7143,                 1.2841,             0.00042888,             0.00042888,             0.00042888
                     23,                0.61425,                0.32697,                0.92092,                0.82443,                0.82014,                0.77785,                0.54804,                 0.9979,                 0.6981,                 1.2932,             0.00044307,             0.00044307,             0.00044307
                     24,                0.61165,                0.32948,                0.92913,                0.83801,                0.82264,                0.78764,                0.55584,                 1.0256,                0.71324,                 1.3129,             0.00045676,             0.00045676,             0.00045676
                     25,                0.61315,                0.33087,                0.92808,                0.82691,                0.82456,                0.78024,                0.54852,                 1.0082,                0.69876,                 1.3018,             0.00046996,             0.00046996,             0.00046996
                     26,                0.62625,                0.33188,                0.92132,                0.82738,                0.82711,                 0.7854,                 0.5555,                 1.0009,                0.68918,                 1.3259,             0.00048266,             0.00048266,             0.00048266
                     27,                0.64589,                0.33721,                0.92683,                 0.8255,                0.82929,                0.79522,                0.56112,                 1.0257,                0.67297,                 1.3218,             0.00049487,             0.00049487,             0.00049487
                     28,                 0.6265,                0.33723,                 0.9165,                0.81803,                0.83211,                0.78788,                0.54724,                 1.0273,                0.71537,                 1.3245,             0.00050658,             0.00050658,             0.00050658
                     29,                0.61175,                0.32491,                0.90641,                0.82974,                0.82615,                0.78819,                0.55043,                 1.0125,                0.70564,                 1.3106,              0.0005178,              0.0005178,              0.0005178
                     30,                0.61456,                 0.3247,                0.92441,                0.81231,                0.82178,                0.78098,                 0.5467,                 1.0284,                0.69712,                 1.3289,             0.00052852,             0.00052852,             0.00052852
                     31,                0.62595,                0.32805,                0.92756,                0.82688,                0.82164,                 0.7938,                0.56561,                 1.0001,                0.70267,                 1.3016,             0.00053875,             0.00053875,             0.00053875
