                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65733,                0.33888,                0.94251,                0.83068,                0.82691,                0.78139,                0.56745,                0.98787,                0.62335,                 1.2719,              1.666e-05,              1.666e-05,              1.666e-05
                      2,                0.67292,                0.34987,                0.94433,                 0.8337,                0.82543,                0.78587,                0.56677,                0.98184,                0.61147,                 1.2647,             4.1238e-05,             4.1238e-05,             4.1238e-05
                      3,                0.66046,                 0.3442,                0.94314,                0.83255,                0.82764,                0.78915,                0.56613,                0.98038,                0.63359,                 1.2654,             6.5321e-05,             6.5321e-05,             6.5321e-05
                      4,                0.64561,                0.33396,                0.94477,                0.82835,                 0.8211,                0.78752,                0.56579,                0.98059,                0.62665,                 1.2655,             8.8909e-05,             8.8909e-05,             8.8909e-05
                      5,                0.63733,                 0.3324,                0.91496,                0.82059,                0.82264,                0.77726,                 0.5532,                0.99135,                0.63715,                  1.276,               0.000112,               0.000112,               0.000112
                      6,                0.63569,                 0.3258,                0.91824,                0.82321,                0.82264,                0.78059,                0.55814,                0.98619,                 0.6369,                 1.2782,              0.0001346,              0.0001346,              0.0001346
                      7,                0.63899,                0.32854,                0.92227,                0.82165,                0.82122,                0.78854,                0.55939,                0.98945,                0.63288,                 1.2812,              0.0001567,              0.0001567,              0.0001567
                      8,                0.63651,                0.32757,                0.92899,                0.82398,                0.82074,                0.78432,                 0.5608,                 1.0071,                0.65237,                 1.2871,             0.00017831,             0.00017831,             0.00017831
                      9,                0.63329,                0.32504,                0.92707,                0.82498,                0.82683,                0.78412,                0.56164,                  1.009,                0.62877,                 1.2861,             0.00019943,             0.00019943,             0.00019943
                     10,                0.64073,                   0.33,                0.92664,                0.83075,                0.82764,                0.78282,                0.55717,                 1.0087,                0.64795,                  1.283,             0.00022005,             0.00022005,             0.00022005
                     11,                0.64457,                0.33829,                0.93796,                0.83008,                0.83178,                0.78447,                0.55346,                 1.0018,                0.63491,                 1.2726,             0.00024017,             0.00024017,             0.00024017
                     12,                 0.6208,                0.32296,                 0.9222,                0.82458,                0.82128,                0.78041,                0.55595,                0.99731,                0.64065,                 1.2791,              0.0002598,              0.0002598,              0.0002598
                     13,                0.61762,                0.32556,                0.93019,                0.83175,                0.82438,                0.78928,                0.55728,                 1.0004,                0.64072,                 1.2709,             0.00027894,             0.00027894,             0.00027894
                     14,                0.60997,                0.31988,                0.92445,                0.82363,                0.81651,                0.78141,                0.55112,                  1.016,                0.64038,                 1.2891,             0.00029758,             0.00029758,             0.00029758
                     15,                0.61924,                0.32829,                0.92205,                0.81896,                0.82264,                0.78034,                0.54468,                 1.0183,                0.67696,                  1.302,             0.00031572,             0.00031572,             0.00031572
                     16,                0.61977,                0.32943,                0.91465,                0.81782,                0.82764,                0.78376,                0.54914,                 1.0217,                0.66065,                 1.3215,             0.00033337,             0.00033337,             0.00033337
                     17,                0.62344,                0.33114,                0.92355,                0.82588,                0.82752,                0.77818,                 0.5492,                 1.0154,                0.65165,                 1.3119,             0.00035053,             0.00035053,             0.00035053
                     18,                0.62192,                0.33591,                0.92284,                0.82648,                0.82764,                 0.7788,                0.55079,                 0.9994,                0.68929,                 1.2984,             0.00036719,             0.00036719,             0.00036719
                     19,                0.63032,                0.33406,                0.91924,                0.82614,                0.82615,                0.77796,                0.55099,                 1.0022,                0.69111,                 1.2993,             0.00038335,             0.00038335,             0.00038335
