                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92818,                0.50184,                 1.0631,                0.80057,                 0.7782,                0.72218,                0.43739,                 1.2777,                0.93392,                  1.386,             0.00056086,             0.00056086,             0.00056086
                     36,                0.88873,                0.49721,                 1.0416,                0.78032,                0.78844,                0.73932,                0.45055,                 1.2759,                0.91662,                 1.3893,             0.00055261,             0.00055261,             0.00055261
                     37,                0.91205,                0.50887,                 1.0655,                0.77568,                0.76854,                0.71147,                0.42935,                 1.2879,                0.92857,                 1.4141,             0.00054437,             0.00054437,             0.00054437
                     38,                0.87577,                0.47996,                 1.0302,                0.79454,                0.76944,                0.71103,                0.42643,                 1.3264,                 1.0623,                 1.4517,             0.00053612,             0.00053612,             0.00053612
                     39,                0.90467,                 0.4969,                 1.0609,                0.80634,                0.78366,                0.72996,                0.43144,                 1.2967,                 1.0158,                 1.4053,             0.00052787,             0.00052787,             0.00052787
                     40,                0.89997,                0.49324,                 1.0524,                0.78793,                0.77857,                0.72481,                0.43519,                 1.2805,                0.97613,                 1.3879,             0.00051963,             0.00051963,             0.00051963
                     41,                0.89402,                0.49211,                 1.0751,                0.79931,                0.76744,                0.71912,                0.43325,                 1.3071,                  1.022,                 1.4103,             0.00051138,             0.00051138,             0.00051138
                     42,                0.89785,                 0.4932,                 1.0479,                0.79511,                 0.7739,                0.70834,                0.43437,                 1.2893,                 1.0323,                    1.4,             0.00050313,             0.00050313,             0.00050313
                     43,                0.88191,                0.47969,                 1.0452,                0.81219,                0.76082,                0.72527,                0.42974,                 1.3005,                 1.0558,                 1.4096,             0.00049489,             0.00049489,             0.00049489
                     44,                0.88247,                0.48615,                 1.0487,                0.78824,                0.76845,                 0.7184,                0.43816,                 1.2552,                0.93184,                 1.3669,             0.00048664,             0.00048664,             0.00048664
                     45,                 0.8936,                0.49537,                 1.0629,                0.80087,                0.78532,                0.73365,                0.44325,                 1.2597,                0.87195,                 1.3751,             0.00047839,             0.00047839,             0.00047839
                     46,                0.86166,                0.47187,                 1.0363,                0.79967,                0.76871,                0.71847,                0.44785,                 1.2574,                 0.9487,                 1.3962,             0.00047015,             0.00047015,             0.00047015
                     47,                0.86008,                0.46236,                  1.039,                0.78993,                0.76336,                0.71015,                0.43959,                 1.2527,                 1.0095,                 1.3939,              0.0004619,              0.0004619,              0.0004619
                     48,                   0.85,                0.47434,                 1.0326,                0.78721,                0.76817,                0.70033,                 0.4371,                 1.2429,                 1.0236,                 1.4056,             0.00045365,             0.00045365,             0.00045365
                     49,                0.86562,                0.47552,                 1.0658,                 0.8088,                0.77273,                0.72048,                0.44392,                 1.2673,                 1.0363,                 1.4076,             0.00044541,             0.00044541,             0.00044541
                     50,                0.85163,                0.45919,                 1.0273,                0.79673,                0.76694,                0.71121,                0.44128,                 1.2754,                 1.0985,                 1.4377,             0.00043716,             0.00043716,             0.00043716
                     51,                 0.8456,                0.45996,                 1.0344,                0.79913,                0.76629,                0.71029,                0.43735,                 1.2799,                 1.1139,                 1.4195,             0.00042891,             0.00042891,             0.00042891
                     52,                0.83474,                0.46569,                 1.0308,                0.79193,                0.78199,                0.70283,                0.42233,                 1.2824,                 1.0481,                 1.4153,             0.00042066,             0.00042066,             0.00042066
                     53,                0.85503,                0.46475,                 1.0374,                0.81173,                0.78741,                0.71731,                0.43841,                 1.2533,                0.99328,                 1.4073,             0.00041242,             0.00041242,             0.00041242
                     54,                0.85101,                0.48323,                  1.046,                0.79873,                0.77675,                0.71927,                0.44693,                 1.2662,                  1.026,                 1.4028,             0.00040417,             0.00040417,             0.00040417
                     55,                0.83512,                0.46393,                 1.0263,                0.79327,                0.75681,                0.69197,                0.42442,                 1.2953,                 1.1164,                 1.4363,             0.00039592,             0.00039592,             0.00039592
                     56,                0.80151,                 0.4379,                 0.9974,                0.78883,                0.76011,                0.69929,                0.43346,                 1.2708,                  1.109,                 1.4251,             0.00038768,             0.00038768,             0.00038768
